nome_x,nome_regiao,quantidade_nascimentos_ate_2010
Adams,Nordeste,33
Adan,Sudeste,496
Adaneuza,Nordeste,12
Adaniel,Sudeste,15
Adanilson,Norte,12
Adans,Sudeste,41
Adao,Sudeste,41950
Adara,Sudeste,25
Adarci,Sudeste,14
Adario,Sudeste,10
Adassa,Nordeste,20
Adauane,Sudeste,10
Adauberto,Nordeste,26
Adaulto,Sudeste,12
Adaumir,Norte,17
Adauri,Sudeste,60
Adaury,Sudeste,14
Adauto,Sudeste,1978
Adauton,Sudeste,14
Adavilson,Centro-Oeste,25
Adda,Sudeste,13
Ade,Sudeste,13
Adebaldo,Nordeste,32
Adebora,Sudeste,10
Adeci,Sudeste,32
Adecilda,Nordeste,10
Adecio,Nordeste,84
Adecir,Sul,24
Adegildo,Sudeste,17
Adegilson,Sudeste,38
Adegmar,Sudeste,22
Adeide,Sudeste,48
Adeido,Sudeste,24
Adeil,Sudeste,13
Adeilda,Nordeste,2208
Adeilde,Nordeste,342
Adeildes,Nordeste,137
Adeildo,Nordeste,4631
Adeildon,Sudeste,12
Adeilma,Nordeste,209
Adeilsa,Nordeste,101
Adeilsom,Nordeste,22
Adeilson,Nordeste,5293
Adeilto,Sudeste,49
Adeiltom,Sudeste,48
Adeilton,Nordeste,4249
Adeilza,Nordeste,318
Adeir,Sudeste,1187
Adeison,Sudeste,64
Adeiton,Sudeste,42
Adeiuda,Sudeste,11
Adejair,Sudeste,44
Adejane,Sudeste,12
Adejar,Centro-Oeste,23
Adel,Sul,68
Adela,Sudeste,119
Adelade,Sudeste,13
Adeladio,Nordeste,10
Adelaida,Sudeste,16
Adelaide,Sudeste,10427
Adelaido,Sudeste,16
Adelaine,Sudeste,276
Adelair,Sul,62
Adelan,Sudeste,12
Adelane,Nordeste,80
Adelania,Nordeste,11
Adelano,Nordeste,12
Adelar,Sul,5453
Adelci,Sudeste,27
Adelcina,Sudeste,15
Adelcino,Sudeste,11
Adelcio,Sudeste,447
Adelcir,Sudeste,12
Adelco,Sudeste,11
Adele,Sudeste,134
Adeleide,Sudeste,11
Adelfina,Sudeste,10
Adelfo,Sudeste,10
Adelha,Sudeste,36
Adeli,Sudeste,427
Adelia,Sudeste,14325
Adeliana,Sudeste,16
Adeliane,Nordeste,65
Adelice,Sudeste,562
Adelicia,Sudeste,134
Adelicio,Sudeste,137
Adelide,Sudeste,24
Adelidio,Nordeste,14
Adelina,Sudeste,9285
Adelinda,Sudeste,21
Adeline,Sudeste,142
Adelino,Sudeste,6588
Adelio,Sudeste,968
Adelir,Sul,1431
Adelirio,Sul,51
Adelisa,Sudeste,12
Adelita,Sudeste,508
Adelite,Sudeste,18
Adelito,Sudeste,26
Adelma,Nordeste,1378
Adelman,Nordeste,34
Adelmar,Nordeste,91
Adelmario,Nordeste,37
Adelmir,Nordeste,50
Adelmira,Nordeste,13
Adelmiro,Nordeste,14
Adelmo,Nordeste,4028
Adelor,Sul,81
Adelsio,Sudeste,25
Adelso,Sudeste,372
Adelsom,Sudeste,79
Adelson,Sudeste,8205
Adelto,Sudeste,17
Adelton,Sudeste,42
Adelucia,Sudeste,12
Adelvan,Nordeste,162
Adelvando,Nordeste,13
Adelvania,Sudeste,11
Adelvina,Nordeste,25
Adelvino,Sudeste,14
Adelvita,Sudeste,11
Adely,Sudeste,32
Adelza,Sudeste,19
Adelzira,Sudeste,20
Adelzita,Sudeste,13
Adelzuita,Nordeste,12
Ademair,Sudeste,15
Ademar,Sudeste,19054
Ademaria,Nordeste,16
Ademario,Nordeste,2314
Ademaro,Sudeste,12
Ademi,Nordeste,43
Ademicio,Sudeste,16
Ademil,Centro-Oeste,58
Ademilda,Nordeste,35
Ademilde,Sudeste,429
Ademildes,Nordeste,123
Ademildo,Sudeste,64
Ademilso,Sudeste,13
Ademilsom,Sudeste,130
Ademilson,Sudeste,6509
Ademilto,Sudeste,23
Ademiltom,Sudeste,28
Ademilton,Nordeste,1277
Ademir,Sudeste,50907
Ademira,Nordeste,20
Ademiro,Sudeste,50
Ademison,Sudeste,24
Adenaide,Sudeste,18
Adenaildes,Nordeste,11
Adenair,Sudeste,84
Adenaldo,Centro-Oeste,29
Adenalva,Sudeste,17
Adenauer,Sudeste,26
Adeni,Sudeste,93
Adenia,Sudeste,13
Adenias,Nordeste,29
Adenice,Sudeste,248
Adenicio,Sudeste,27
Adenil,Nordeste,113
Adenilce,Sudeste,41
Adenilda,Sudeste,436
Adenilde,Nordeste,293
Adenildes,Nordeste,315
Adenildo,Sudeste,624
Adenilma,Sudeste,13
Adenilsa,Sudeste,131
Adenilse,Sudeste,24
Adenilso,Sudeste,36
Adenilsom,Sudeste,51
Adenilson,Sudeste,9310
Adenilto,Nordeste,56
Adeniltom,Sudeste,15
Adenilton,Nordeste,2913
Adenilza,Nordeste,412
Adenir,Sudeste,2859
Adenira,Sudeste,33
Adenis,Sudeste,108
Adenise,Sudeste,145
Adenisia,Sudeste,34
Adenisio,Sudeste,56
Adenison,Sudeste,26
Adenita,Sudeste,31
Adenivaldo,Sudeste,18
Adenize,Sudeste,40
